STT;Mảng nội dung;;Nội dung câu hỏi;Phương án A;Phương án B;Phương án C;Phương án D;Đáp án đúng;Văn bản tham chiếu/ thuyết minh;Điều khoản;;;;;;;;;;;;;;;
45;I.8.Tài sản số;I.8;Đồng tiền nào được phép sử dụng để chào bán, phát hành, giao dịch, thanh toán tài sản mã hóa theo quy định của Nghị quyết số 05/2025/NQ-CP?;Đồng Đô la Mỹ (USD);Bất kỳ ngoại tệ nào được tự do chuyển đổi;Đồng Việt Nam (VND);Các loại tiền điện tử phổ biến (Bitcoin, Ethereum...);C;Nghị quyết số 05/2025/NQ-CP;Chương I, Điều 4, Khoản 7;;;;;;;;;;;;;;;
46;I.8.Tài sản số;I.8;Theo Nghị quyết số 05/2025/NQ-CP, Tổ chức nào được cấp phép phát hành tài sản mã hóa?;Tổ chức quốc tế có trụ sở tại Việt Nam;Doanh nghiệp Việt Nam đăng ký hoạt động dưới hình thức công ty TNHH hoặc công ty cổ phần theo Luật Doanh nghiệp;Doanh nghiệp có vốn đầu tư nước ngoài (FDI) trên 50%;Tổ chức tín dụng được Ngân hàng Nhà nước cấp phép;B;Nghị quyết số 05/2025/NQ-CP;Chương II, Điều 5, Khoản 1;;;;;;;;;;;;;;;
47;I.8.Tài sản số;I.8;Theo Nghị quyết số 05/2025/NQ-CP, tài sản mã hóa được chào bán, phát hành cho đối tượng nào?;Mọi cá nhân, tổ chức trong và ngoài nước;Chỉ nhà đầu tư trong nước;Chỉ nhà đầu tư nước ngoài;Chỉ các quỹ đầu tư chuyên nghiệp;C;Nghị quyết số 05/2025/NQ-CP;Chương II, Điều 6, Khoản 1;;;;;;;;;;;;;;;
48;I.8.Tài sản số;I.8;Theo Nghị quyết số 05/2025/NQ-CP, điều kiện cấp giấy phép cung cấp dịch vụ tổ chức thị trường giao dịch tài sản mã hóa, yêu cầu mức vốn điều lệ tối thiểu đã góp đối với doanh nghiệp là bao nhiêu;5.000 tỷ VNĐ;10.000 tỷ VNĐ;15.000 tỷ VNĐ;20.000 tỷ VNĐ;B;Nghị quyết số 05/2025/NQ-CP;Chương III. Điều 8, Khoản 2;;;;;;;;;;;;;;;
49;I.8.Tài sản số;;"Theo Luật Công nghiệp công nghệ số năm 2025, ""Tài sản mã hóa"" sử dụng công nghệ nào để xác thực đối với tài sản trong quá trình tạo lập, phát hành?";Công nghệ in ấn chống giả;Công nghệ mã hóa hoặc công nghệ số có chức năng tương tự;Công nghệ nhận diện khuôn mặt;Công nghệ quét mã vạch truyền thống;B;"Luật 71/2025/QH15
Tài sản mã hóa sử dụng công nghệ mã hóa hoặc công nghệ số tương tự để xác thực tài sản trong suốt vòng đời.";Điều 47, Khoản 2b;;;;;;;;;;;;;;;
50;I.9.Đạo đức trong sử dụng dữ liệu;I.9;Theo Luật Bảo vệ dữ liệu cá nhân, khi phát hiện vi phạm có thể gây hại, bên liên quan phải thông báo cho cơ quan chuyên trách trong thời gian nào?;24 giờ;48 giờ;72 giờ;7 ngày;C;Luật Bảo vệ dữ liệu cá nhân (Luật số 91/2025/QH15);Khoản 1, Điều 23. Thông báo vi phạm quy định về bảo vệ dữ liệu cá nhân;;;;;;;;;;;;;;;
51;I.9.Đạo đức trong sử dụng dữ liệu;I.9;"Theo Luật Bảo vệ dữ liệu cá nhân, nội dung nào sau đây là một trong những nguyên tắc về ""Sự đồng ý của chủ thể dữ liệu cá nhân""?";Bắt buộc phải đồng ý với tất cả các mục đích để được xử lý dữ liệu;Sự im lặng hoặc không phản hồi không được coi là sự đồng ý;Kèm theo điều kiện bắt buộc phải đồng ý với các mục đích khác với nội dung thỏa thuận;Được phép nếu ngân hàng có chính sách nội bộ cho phép;B;Luật Bảo vệ dữ liệu cá nhân (Luật số 91/2025/QH15);Khoản 4, Điều 9. Sự đồng ý của chủ thể dữ liệu cá nhân;;;;;;;;;;;;;;;
52;I.9.Đạo đức trong sử dụng dữ liệu;I.9;Theo Luật Bảo vệ dữ liệu cá nhân, Khi khách hàng yêu cầu kiểm tra dữ liệu cá nhân của mình, ngân hàng cần xử lý như thế nào?;Từ chối vì dữ liệu thuộc sở hữu của ngân hàng;Thực hiện theo quyền của chủ thể dữ liệu được quy định của pháp luật;Thu phí cao để hạn chế yêu cầu kiểm tra;Xóa toàn bộ dữ liệu của khách hàng theo yêu cầu;B;Luật Bảo vệ dữ liệu cá nhân (Luật số 91/2025/QH15);Điều 4. Quyền và nghĩa vụ của chủ thể dữ liệu cá nhân;;;;;;;;;;;;;;;
53;I.9.Đạo đức trong sử dụng dữ liệu;I.9;Theo Luật Bảo vệ dữ liệu cá nhân, Khi ngân hàng thuê bên thứ ba xử lý dữ liệu khách hàng (outsourcing), trách nhiệm bảo vệ dữ liệu thuộc về ai?;Hoàn toàn thuộc về bên thứ ba vì họ trực tiếp xử lý dữ liệu;Ngân hàng và bên thứ ba đều phải chịu trách nhiệm;Không bên nào chịu trách nhiệm vì dữ liệu đã được mã hóa trước khi chuyển giao;Chỉ cần ký hợp đồng là đủ, không cần giám sát thêm;B;"Luật Bảo vệ dữ liệu cá nhân 2025; Nghị định 356/2025/NĐ-CP";Điều 37 (trách nhiệm của bên kiểm soát dữ liệu cá nhân);;;;;;;;;;;;;;;
1;II.1.Lấy khách hàng làm trung tâm;II.1;Theo quy định, tổ chức cung ứng dịch vụ thanh toán phải đảm bảo có ít nhất các hình thức tiếp nhận yêu cầu tra soát, khiếu nại nào sau đây?;Tiếp nhận trực tiếp bằng văn bản tại trụ sở chính của ngân hàng.;Tiếp nhận qua tổng đài điện thoại (có ghi âm, hoạt động 24/24 giờ trong ngày và 7/7 ngày trong tuần) và qua các địa điểm giao dịch hợp pháp của tổ chức.;Tiếp nhận qua thư điện tử (email) và tin nhắn SMS định danh.;Tiếp nhận thông qua người giới thiệu hoặc nhân viên quản lý hồ sơ khách hàng.;B;Thông tư 15/2024/TT-NHNN;"Điểm a khoản 3 Điều 6
";;;;;;;;;;;;;;;
2;II.1.Lấy khách hàng làm trung tâm;II.1;Việc mở tài khoản thanh toán cho khách hàng là người khuyết tật được thực hiện như thế nào?;Ngân hàng chỉ được phép mở tài khoản thanh toán cho khách hàng là người khuyết tật nếu khách hàng có người giám hộ hợp pháp đi kèm và ký tên thay trên mọi chứng từ.;Ngân hàng căn cứ điều kiện, khả năng cung ứng để hướng dẫn hồ sơ, trình tự riêng nhưng phải đảm bảo thu thập đủ tài liệu, dữ liệu để xác minh thông tin nhận biết khách hàng.;Người khuyết tật bắt buộc phải sử dụng hình thức mở tài khoản thanh toán trực tiếp tại quầy, không được áp dụng hình thức mở tài khoản thanh toán bằng phương tiện điện tử.;Ngân hàng có quyền từ chối mở tài khoản nếu khách hàng không thể tự ký chữ ký tay giống hệt nhau trên các mẫu biểu.;B;Thông tư 17/2024/TT-NHNN;khoản 5 Điều 15;;;;;;;;;;;;;;;
3;II.1.Lấy khách hàng làm trung tâm;II.1;Theo quy định, tính năng nào sau đây là bắt buộc phải có trên ứng dụng Online Banking để khách hàng được quyền chủ động quản lý chi tiêu, các giao dịch thanh toán trực tuyến sử dụng thẻ ngân hàng?;Thiết lập hạn mức thanh toán trực tuyến sử dụng thẻ ngân hàng trong ngày;Gửi thông báo quảng cáo các chương trình khuyến mãi;Cho phép chuyển tiền liên ngân hàng 24/7;Tự động khóa thẻ khi số dư dưới mức tối thiểu;A;Thông tư 50/2024/TT-NHNN;Khoản 9, Điều 7;;;;;;;;;;;;;;;
4;II.1.Lấy khách hàng làm trung tâm;II.1;Những loại thông tin nào của khách hàng khi lưu trữ bắt buộc phải áp dụng biện pháp mã hóa hoặc che dấu;Họ tên, địa chỉ liên lạc và số điện thoại của khách hàng.;Lịch sử giao dịch và số dư tài khoản thanh toán.;Mã khóa bí mật, mã PIN và thông tin sinh trắc học.;Nghề nghiệp, chức vụ và thu nhập hàng tháng.;C;Thông tư 50/2024/TT-NHNN;Khoản 2 Điều 19;;;;;;;;;;;;;;;
5;II.1.Lấy khách hàng làm trung tâm;II.1;Ngân hàng phải cung cấp thông tin về dịch vụ Online Banking cho khách hàng vào thời điểm nào?;Sau khi khách hàng thực hiện giao dịch chuyển tiền đầu tiên.;Định kỳ hàng năm thông qua báo cáo thường niên.;Trước hoặc ngay tại thời điểm khách hàng đăng ký sử dụng dịch vụ.;Chỉ công bố khi có yêu cầu bằng văn bản từ cơ quan chức năng.;C;Thông tư 50/2024/TT-NHNN;Khoản 1 Điều 17;;;;;;;;;;;;;;;
6;II.1.Lấy khách hàng làm trung tâm;II.1;Trong trường hợp nào tổ chức cung ứng dịch vụ online banking được phép gửi tin nhắn SMS chứa đường dẫn liên kết (Hyperlink) truy cập trang tin điện tử cho khách hàng?;Khi tổ chức cung ứng dịch vụ online banking cần quảng cáo dịch vụ mới.;Khi hệ thống đang bị tấn công và cần khách hàng đăng nhập để đổi mật khẩu ngay.;Khi có yêu cầu cụ thể từ khách hàng.;Khi tổ chức thực hiện bảo trì hệ thống và muốn khách hàng xem lịch bảo trì.;C;Thông tư 50/2024/TT-NHNN;Khoản 3 Điều 17 Thông tư 50/2024/TT-NHNN quy định: 3. Đơn vị không gửi tin nhắn SMS, thư điện tử cho khách hàng có nội dung chứa đường dẫn liên kết (Hyperlink) truy cập các trang tin điện tử, trừ trường hợp theo yêu cầu của khách hàng.;;;;;;;;;;;;;;;
7;II.2.Hành trình khách hàng số;II.2;Tại Quyết định 06/QĐ-TTg ngày 06/01/2022, đơn vị nào là đầu mối triển khai nhiệm vụ “Bắt đầu cung cấp định danh, tài khoản định danh điện tử cho công dân sử dụng các dịch vụ, tiện ích số do Chính phủ, bộ, ngành xác thực và đảm bảo trong năm 2022”?;Bộ Nội vụ;Bảo hiểm xã hội Việt Nam;Bộ Công an;Bộ Khoa học và Công nghệ;C;Quyết định 06/QĐ-TTg ngày 06/01/2022;Điều 1. Mục III.4.a;;;;;;;;;;;;;;;
8;II.2.Hành trình khách hàng số;II.2;Để hoàn thiện hành trình khách hàng số trong lĩnh vực giải quyết thủ tục hành chính cho công dân, Quyết định 06/QĐ-TTg ngày 06/01/2022 đặt mục tiêu trong giai đoạn 2025-2030 sẽ chuẩn hóa thống nhất bao nhiêu phần trăm cho mẫu đơn, tờ khai có thông tin công dân theo yêu cầu từ dữ liệu gốc của Cơ sở dữ liệu quốc gia về dân cư?;30%;50%;70%;100%;C;Quyết định 06/QĐ-TTg ngày 06/01/2022;"Mục II.2.a (Nhóm tiện ích phục vụ giải quyết thủ tục hành chính và cung cấp dịch vụ công trực tuyến) - Mục tiêu 2025-2030: ""70% mẫu đơn, tờ khai có thông tin công dân được chuẩn hóa thống nhất theo yêu cầu từ dữ liệu gốc của Cơ sở dữ liệu quốc gia về dân cư""";;;;;;;;;;;;;;;
9;II.2.Hành trình khách hàng số;II.2;"Khi gửi email quảng cáo để duy trì quan hệ với khách hàng, doanh nghiệp bắt buộc phải làm gì để không bị coi là ""Spam""?";Chỉ gửi vào khung giờ từ 8h sáng đến 5h chiều.;Phải có chức năng từ chối nhận quảng cáo  theo quy định;Phải đính kèm bản sao Giấy phép kinh doanh trong mỗi email.;Không được gửi quá 1 email mỗi tháng cho một khách hàng.;B; Nghị định 91/2020/NĐ-CP ngày 14/8/2020;"Khoản 3 Điều 14 ""3. Có chức năng từ chối theo quy định tại Điều 16 Nghị định này.""";;;;;;;;;;;;;;;
10;II.2.Hành trình khách hàng số;II.2;Theo Quyết định số 06/QĐ-TTg ngày 06/01/2022, Ngân hàng Nhà nước Việt Nam được giao phối hợp Bộ Công an kết nối với hệ thống định danh và xác thực điện tử, Cơ sở dữ liệu quốc gia về dân cư, phát triển và sử dụng các ứng dụng trên thẻ Căn cước công dân và ứng dụng VNeID. Mục tiêu của nhiệm vụ này là gì?;Tăng cường kiểm soát dữ liệu khách hàng lĩnh vực tài chính - ngân hàng phục vụ hoạt động điều hành của Chính phủ;Tạo thuận lợi cho người dân tiếp cận các dịch vụ tài chính, thúc đẩy quá trình chuyển đổi số trong ngành Ngân hàng và phục vụ các hoạt động chỉ đạo, điều hành của Ngân hàng Nhà nước Việt Nam;Khai thác dữ liệu công dân cho mục đích quáng bá sản phẩm dịch vụ số ngành ngân hàng;Kết nối, chia sẻ thông tin, dữ liệu giữa các ngân hàng với các Bộ Ban Ngành;B;Quyết định số 06/QĐ-TTg ngày 06/01/2022;Mục IV.20 (NHNN Việt Nam);;;;;;;;;;;;;;;
11;II.2.Hành trình khách hàng số;II.2;Đâu là nguyên tắc đúng theo Nghị định 278/2025/NĐ-CP ngày 22/10/2025 về việc kết nối, chia sẻ dữ liệu?;Kết nối, chia sẻ dữ liệu để thiết lập kết nối kỹ thuật giữa các hệ thống thông tin, cơ sở dữ liệu trong hệ thống chính trị là bắt buộc;"Việc kết nối, chia sẻ dữ liệu phải bảo đảm được thực hiện kịp thời, đầy đủ, đúng mục đích; bảo đảm an toàn, bảo mật và đúng phạm vi chức năng, nhiệm vụ, quyền hạn; phục vụ hiệu quả hoạt động cung cấp dịch vụ công, quản trị, điều hành và khai thác giá trị của dữ liệu.";Việc kết nối, chia sẻ dữ liệu không nhất thiết phải tuân thủ Khung kiến trúc dữ liệu quốc gia, Khung quản trị, quản lý dữ liệu quốc gia;Không có đáp án nào đúng;B;Nghị định 278/2025/NĐ-CP ngày 22/10/2025;Điều 4 khoản 1;;;;;;;;;;;;;;;
12;II.2.Hành trình khách hàng số;II.2;Một trong những nhiệm vụ được đặt ra tại Quyết định 3579/QĐ-NHNN ngày 03/11/2025 nhằm đẩy mạnh chuyển đối số tại các đơn vị ngành Ngân hàng?;Xây dựng Khung Kiến trúc dữ liệu quốc gia phục vụ các Bộ Ban Ngành;Kết nối, chia sẻ dữ liệu an sinh xã hội của người dân với Bộ Công An;Thúc đẩy nghiên cứu và triển khai các ứng dụng công nghệ trí tuệ nhân tạo (AI) và các công nghệ số trong cung ứng sản phẩm, dịch vụ ngân hàng;Kiểm soát, bảo mật dữ liệu khách hàng nói chung khi có yêu cầu khai thác từ các Bộ Ban Ngành khác;C;Quyết định 3579/QĐ-NHNN ngày 03/11/2025;IV.5.c;;;;;;;;;;;;;;;
13;II.3.Cá nhân hóa sản phẩm, dịch vụ;II.3;Theo Quyết định số 06/QĐ-TTg ngày 06/01/2022, giai đoạn 2025-2030 cần phấn đấu có bao nhiêu tài khoản người dùng trên ứng dụng VNeID?;Trên 30 triệu tài khoản người dùng;Trên 40 triệu tài khoản người dùng;Trên 50 triệu tài khoản người dùng;Trên 60 triệu tài khoản người dùng;D;Quyết định số 06/QĐ-TTg ngày 06/01/2022;Điều 1. Mục II.2.c;;;;;;;;;;;;;;;
14;II.3.Cá nhân hóa sản phẩm, dịch vụ;II.3;"Quyết định số 3579/QĐ-NHNN về Chiến lược chuyển đổi số ngành Ngân hàng đến năm 2030 xác định đối tượng nào là ""trung tâm, chủ thể và động lực chính"" của công cuộc chuyển đổi số?";Người dân và doanh nghiệp.;Các công ty công nghệ tài chính (Fintech).;Ngân hàng Nhà nước.;Các Tổ chức tín dụng quy mô lớn.;A;Quyết định số 3579/QĐ-NHNN;Điều 1. Mục I.2 (Quan điểm xây dựng chiến lược);;;;;;;;;;;;;;;
15;II.3.Cá nhân hóa sản phẩm, dịch vụ;II.3;Mục đích chính của việc thiết lập hệ sinh thái số và cung ứng đa dạng các sản phẩm, dịch vụ hướng đến các mô hình kinh doanh mới như Ngân hàng mở (Open Banking), Tài chính nhúng (Embedded Finance),... là gì?;Chuyển giao hoàn toàn rủi ro tín dụng cho bên thứ ba.;Giảm thiểu chi phí duy trì máy chủ của ngân hàng.;Cung ứng các sản phẩm, dịch vụ thân thiện, an toàn tiện lợi với chi phí thấp;Đồng nhất lãi suất ở mọi ngân hàng thương mại.;C;Quyết định số 3579/QĐ-NHNN;Điểm đ khoản 5 Mục IV Điều 1;;;;;;;;;;;;;;;
